PsgcCode,DengueYear,DengueWeekNumber,DengueCaseCount,LagYear,LagWeekNumber,LagWeekStartDate,TemperatureMean,TemperatureMax,HumidityMean,HumidityMax,PrecipitationMean,PrecipitationMax,MostCommonWeatherCodeId,MostCommonWeatherDescription,OccurrenceCount,DominantWeatherCategory,IsWetWeek
0931700001,2016,24,0,2016,22,05-30-2016,27.57,28.20,84.86,87.00,8.04,12.00,61,"Rain, not freezing, continuous",4,Rain,TRUE
0931700001,2016,25,0,2016,23,06-06-2016,27.94,28.60,83.29,87.00,6.43,14.10,63,"Rain, not freezing, continuous",4,Rain,TRUE
0931700001,2016,26,1,2016,24,06-13-2016,27.44,27.90,84.71,88.00,14.33,44.60,63,"Rain, not freezing, continuous",5,Rain,TRUE
0931700001,2016,27,1,2016,25,06-20-2016,26.71,27.20,85.71,88.00,26.41,46.10,63,"Rain, not freezing, continuous",4,Rain,TRUE
0931700001,2016,28,0,2016,26,06-27-2016,26.97,27.70,86.57,88.00,14.77,25.50,63,"Rain, not freezing, continuous",4,Rain,TRUE
0931700001,2016,29,0,2016,27,07-04-2016,27.86,28.20,83.71,87.00,2.01,6.10,51,"Drizzle, not freezing, continuous",3,Drizzle,TRUE
0931700001,2016,30,1,2016,28,07-11-2016,27.14,27.70,86.57,88.00,8.51,14.00,61,"Rain, not freezing, continuous",5,Rain,TRUE
0931700001,2016,31,0,2016,29,07-18-2016,27.16,27.80,85.14,87.00,7.51,15.10,53,"Rain, not freezing, continuous",2,Rain,TRUE
0931700001,2016,32,0,2016,30,07-25-2016,26.46,26.70,86.57,89.00,15.89,24.40,63,"Rain, not freezing, continuous",5,Rain,TRUE
0931700001,2016,33,0,2016,31,08-01-2016,26.93,27.90,85.00,89.00,13.80,34.40,61,"Rain, not freezing, continuous",4,Rain,TRUE
0931700001,2016,34,0,2016,32,08-08-2016,27.93,28.20,84.43,87.00,1.43,3.50,51,"Drizzle, not freezing, continuous",3,Drizzle,TRUE
0931700001,2016,35,0,2016,33,08-15-2016,27.80,28.30,85.43,88.00,3.00,6.70,53,"Drizzle, not freezing, continuous",4,Drizzle,TRUE
0931700001,2016,36,0,2016,34,08-22-2016,27.34,27.80,87.00,88.00,8.94,17.10,63,"Rain, not freezing, continuous",3,Rain,TRUE
0931700001,2016,37,1,2016,35,08-29-2016,27.44,28.00,85.14,87.00,6.06,19.40,55,"Rain, not freezing, continuous",2,Rain,TRUE
0931700001,2016,38,0,2016,36,09-05-2016,26.90,27.40,86.29,88.00,11.83,25.10,61,"Rain, not freezing, continuous",3,Rain,TRUE
0931700001,2016,39,0,2016,37,09-12-2016,27.43,28.00,83.86,87.00,7.90,21.50,63,"Rain, not freezing, continuous",3,Rain,TRUE
0931700001,2016,40,0,2016,38,09-19-2016,27.00,27.50,86.00,88.00,14.89,27.90,63,"Rain, not freezing, continuous",4,Rain,TRUE
0931700001,2016,41,1,2016,39,09-26-2016,27.27,27.60,85.86,87.00,4.37,6.30,55,"Rain, not freezing, continuous",4,Rain,TRUE
0931700001,2016,42,0,2016,40,10-03-2016,27.41,28.30,85.14,87.00,7.04,12.80,61,"Rain, not freezing, continuous",3,Rain,TRUE
0931700001,2016,43,2,2016,41,10-10-2016,27.36,28.00,85.00,88.00,9.07,22.70,51,"Rain, not freezing, continuous",2,Rain,TRUE
0931700001,2016,44,0,2016,42,10-17-2016,27.34,27.80,86.57,88.00,8.30,15.00,53,"Rain, not freezing, continuous",2,Rain,TRUE
0931700001,2016,45,1,2016,43,10-24-2016,26.57,27.10,87.57,90.00,21.01,35.10,61,"Rain, not freezing, continuous",4,Rain,TRUE
0931700001,2016,46,2,2016,44,10-31-2016,26.66,27.30,88.14,91.00,31.44,109.00,61,"Rain, not freezing, continuous",3,Rain,TRUE
0931700001,2016,47,1,2016,45,11-07-2016,27.80,27.90,79.86,82.00,2.40,9.90,51,"Rain, not freezing, continuous",5,Rain,TRUE
0931700001,2016,48,0,2016,46,11-14-2016,27.29,27.60,85.14,88.00,9.19,17.90,61,"Rain, not freezing, continuous",3,Rain,TRUE
0931700001,2016,49,0,2016,47,11-21-2016,27.76,28.40,83.29,86.00,4.20,11.20,51,"Rain, not freezing, continuous",3,Rain,TRUE
0931700001,2016,50,0,2016,48,11-28-2016,27.37,28.30,85.43,90.00,14.06,61.20,63,"Rain, not freezing, continuous",3,Rain,TRUE
0931700001,2016,51,1,2016,49,12-05-2016,27.03,27.40,86.29,88.00,8.03,13.30,55,"Rain, not freezing, continuous",3,Rain,TRUE
0931700001,2016,52,1,2016,50,12-12-2016,26.89,27.30,85.86,87.00,15.04,24.20,63,"Rain, not freezing, continuous",5,Rain,TRUE
0931700001,2017,1,1,2016,51,12-19-2016,27.56,27.80,83.71,85.00,3.21,8.30,53,"Rain, not freezing, continuous",3,Rain,TRUE
0931700001,2017,2,1,2016,52,12-26-2016,27.40,27.80,84.57,87.00,6.69,13.20,53,"Rain, not freezing, continuous",2,Rain,TRUE
0931700001,2017,3,0,2017,1,01-02-2017,27.11,27.70,84.00,87.00,3.46,18.20,51,"Rain, not freezing, continuous",4,Rain,TRUE
0931700001,2017,4,2,2017,2,01-09-2017,27.07,27.30,84.57,88.00,3.16,9.10,51,"Rain, not freezing, continuous",3,Rain,TRUE
0931700001,2017,5,0,2017,3,01-16-2017,26.59,27.10,86.29,89.00,10.23,18.20,63,"Rain, not freezing, continuous",4,Rain,TRUE
0931700001,2017,6,1,2017,4,01-23-2017,26.83,27.10,79.14,88.00,2.43,6.70,3,"Rain, not freezing, continuous",2,Rain,TRUE
0931700001,2017,7,0,2017,5,01-30-2017,26.87,27.10,84.43,90.00,2.09,7.90,51,"Rain, not freezing, continuous",2,Rain,TRUE
